esriid,TotPop,pctAge0_4,pctAge5_9,pctAge10_14,pctAge15_19,pctAge20_24,pctAge25_34,pctAge35_44,pctAge45_54,pctAge55_59,pctAge60_64,pctAge65_74,pctAge75_84,pctOver85,pctOver5,pctOver15,pctUnder18,pctOver18,pctOver21,pctOver25,pctOver62,pctOver65,pctMales,pctOver18Males,pctFemales,pctOver18Females,pctHispanicPop,pctNonHispWhite,pctNonHispBlack,pctNonHispAmInd,pctNonHispAsian,pctNonHispHawnPI
  ,Total population ,pctAge0_4,pctAge5_9,pctAge10_14,pctAge15_19,pctAge20_24,pctAge25_34,pctAge35_44,pctAge45_54,pctAge55_59,pctAge60_64,pctAge65_74,pctAge75_84,pctOver85,pctOver5,pctOver15,pctUnder18,pctOver18,pctOver21,pctOver25,pctOver62,pctOver65,pctMales ,pctOver18Males,pctFemales ,pctOver18Females,pctHispanicPop ,pctNonHispWhite ,pctNonHispBlack ,pctNonHispAmInd ,pctNonHispAsian ,pctNonHispHawnPI
11433,37927,9.4,7.1,6.9,10.6,9.3,13.1,12.9,11.9,4.5,4.2,5.6,2.9,1.5,90.6,76.6,30.7,69.3,63.8,56.6,12.5,10.1,46.2,62.8,53.8,74.8,26.2,0.6,62.2,0.4,5.7,0
11434,65255,6.6,6.5,7,7.2,7.6,14.3,13.3,13.9,6.5,4.6,6.2,4.2,2.1,93.4,79.9,24.5,75.5,70.8,65.1,15.4,12.5,43.9,73.5,56.1,77,11.1,1.4,83.2,0,1.6,0
11435,54523,6.3,6.2,5.4,5.9,6.8,18.4,14.7,14.2,7,5,5.7,3.5,1,93.7,82.1,21.4,78.6,74.9,69.5,13,10.1,49.8,76.9,50.2,80.3,31.5,14.2,23.2,0,22.1,0
11436,18609,6.2,6,6.6,6.3,8.5,15.7,13.1,16.2,6,4.4,6.6,3.3,1.2,93.8,81.2,22.8,77.2,73,66.4,13.6,11.1,47.5,75.6,52.5,78.7,13.3,1.2,67.6,0.8,8,0
11451,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11691,62577,9.8,7,7.6,7.2,8.3,13.7,10.7,12.3,5.7,4.5,6.8,4.6,1.8,90.2,75.6,29.2,70.8,66.3,60.1,15.6,13.2,46.6,67.2,53.4,73.9,28.3,22.1,44.3,0.2,2.9,0.1
11692,17970,8.2,8.6,8.2,5.6,7,12.1,14.6,14,5.9,5.4,5.3,3.8,1.2,91.8,75,29,71,68.1,62.4,13.2,10.3,46.6,67.6,53.4,74,23.9,14.2,54,0,3.2,0
11693,11338,7.1,6.5,5.5,6.8,7.5,11.4,14.2,18.4,5.1,5.3,7.9,4,0.4,92.9,80.9,23.4,76.6,72.2,66.7,15.4,12.3,46.6,72.7,53.4,80,17.5,47,28.4,0,5.7,0
11694,21507,6,6.3,6.7,6.2,3.1,11.7,12.4,15.5,7.4,6.7,8.5,6.3,3.1,94,81,23.2,76.8,73.9,71.6,21.7,18,48.9,76.9,51.1,76.7,12.9,76.3,7.2,0.1,2.6,0
11697,4078,4,6.6,8.4,6.4,3.5,7.1,9.3,13.5,7.3,9.6,11.2,8.5,4.6,96,80.9,24.3,75.7,73.2,71.1,30.9,24.3,51.2,72.3,48.8,79.3,1.3,97.6,0.1,0,0,0
13290,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
