esriid,TotHUs,pctOccHUs,pctOwnerOcc,pctRenterOcc,AvgOwnerHHSize,AvgRenterHHSize,pctVacantForSale,pctVacantForRent,pctUnits20up,pctBuilt1990_1999,pctBuilt1980_1989,pctBuilt1970_1979,pctBuilt1960_1969,pctBuilt1950_1959,pctBuilt1940_1949,pctBuiltBefore1940,pctPersonsPerRoomLow,pctPersonsPerRoomMedium,pctPersonsPerRoomHigh,MedianHValue,MedianGrossRent
  ,Total housing units ,pctOccHUs ,pctOwnerOcc ,pctRenterOcc ,Average household size of owner-occupied unit ,Average household size of renter-occupied unit ,pctVacantForSale ,pctVacantForRent ,pctUnits20up,pctBuilt1990_1999,pctBuilt1980_1989,pctBuilt1970_1979,pctBuilt1960_1969,pctBuilt1950_1959,pctBuilt1940_1949,pctBuiltBefore1940,pctPersonsPerRoomLow ,pctPersonsPerRoomMedium ,pctPersonsPerRoomHigh ,Median home value ,Median rent 
10271,0.00,,,,,,,,,,,,,,,,,,,,
10278,0.00,,,,,,,,,,,,,,,,,,,,
10279,0.00,,,,,,,,,,,,,,,,,,,,
10280,5157.00,83.80,24.90,75.10,2.13,2.01,21.00,33.60,96.70,8.80,70.90,4.80,2.20,1.00,0.60,0.60,95.90,1.70,2.40,679300.00,2001.00
10282,2932.00,86.40,6.60,93.40,3.07,2.28,0.00,38.20,100.00,28.50,2.10,0.00,0.00,0.00,0.00,0.00,94.40,5.00,0.60,1000001.00,2001.00
10301,16438.00,85.70,43.70,56.30,2.63,2.55,21.40,45.80,30.20,3.60,4.50,10.50,13.20,13.90,8.30,41.20,93.10,3.90,3.00,400300.00,1190.00
10302,6650.00,90.20,57.70,42.30,3.08,2.86,22.00,26.80,4.10,6.30,2.70,4.30,13.60,9.00,9.80,47.80,93.10,4.40,2.50,368500.00,1157.00
10303,9167.00,87.90,60.90,39.10,3.14,2.80,20.60,33.10,13.40,10.50,15.20,14.40,5.80,7.10,5.50,27.10,92.30,4.60,3.10,322900.00,920.00
10304,15979.00,90.60,52.90,47.10,2.92,2.70,13.60,49.70,22.20,8.00,11.60,9.30,14.10,13.90,4.60,26.70,93.50,5.30,1.20,401500.00,1096.00
10305,15978.00,93.20,66.20,33.80,2.86,2.48,10.10,49.80,11.50,12.20,10.00,13.60,14.40,12.70,3.30,18.90,94.90,3.80,1.40,411100.00,1181.00
10306,21572.00,93.80,71.90,28.10,2.90,2.14,19.00,17.40,9.60,8.10,11.10,13.80,26.20,12.20,6.70,13.90,96.80,2.60,0.60,449400.00,1200.00
10307,5371.00,92.20,80.90,19.10,3.17,2.37,23.20,31.30,0.60,27.90,11.90,2.70,3.50,1.80,2.80,26.20,97.90,1.20,0.90,571200.00,1218.00
10308,10893.00,98.30,82.10,17.90,2.89,2.27,23.20,33.00,1.00,9.70,15.10,25.60,21.70,7.70,2.50,11.60,99.20,0.80,0.00,454000.00,1249.00
10309,11562.00,96.00,78.00,22.00,3.08,2.48,23.60,11.30,0.50,26.20,26.60,9.10,4.90,2.20,0.60,6.90,98.80,0.70,0.50,546300.00,1240.00
10310,9448.00,88.80,59.90,40.10,3.14,2.63,18.30,36.20,9.50,5.90,2.90,4.30,8.50,11.30,6.50,47.90,95.10,3.70,1.20,409400.00,1096.00
10311,0.00,,,,,,,,,,,,,,,,,,,,
10312,22102.00,96.00,83.60,16.40,2.99,2.28,16.00,13.90,0.40,14.80,21.10,30.90,11.70,4.90,1.70,5.00,98.60,0.70,0.70,468200.00,1280.00
10314,32621.00,94.90,73.30,26.70,2.92,2.41,22.10,19.80,6.00,8.20,21.80,27.10,15.00,8.20,3.40,11.30,97.50,2.00,0.40,435000.00,1195.00
10451,19009.00,94.00,13.10,86.90,1.94,2.77,15.30,45.20,82.90,1.80,3.90,7.10,16.50,14.50,12.60,31.60,89.50,7.10,3.40,108900.00,916.00
10452,26492.00,94.40,2.90,97.10,3.09,2.97,4.20,42.30,84.50,7.40,5.50,5.20,9.00,10.60,10.30,42.40,83.00,9.70,7.30,359300.00,1032.00
10453,28132.00,92.60,3.70,96.30,3.65,2.94,1.60,51.80,81.90,3.80,3.30,9.50,7.50,10.40,11.40,48.80,85.10,8.70,6.20,439700.00,1017.00
10454,13539.00,92.20,5.20,94.80,3.44,3.01,4.30,45.90,65.40,3.10,5.80,10.90,14.30,13.50,5.80,37.40,86.10,7.30,6.60,365200.00,639.00
10455,14608.00,93.70,8.50,91.50,3.20,2.80,4.90,50.30,67.80,5.40,2.80,6.50,9.80,14.20,9.30,43.60,89.10,7.60,3.30,308300.00,785.00
10456,31172.00,93.50,6.10,93.90,3.82,3.02,6.30,44.60,70.30,4.60,2.90,5.00,10.40,14.60,8.00,43.70,81.00,10.30,8.70,362400.00,906.00
10457,24892.00,91.70,6.20,93.80,3.43,2.97,5.60,43.90,71.70,4.90,3.90,5.90,6.40,8.00,13.40,50.20,82.30,10.40,7.30,393300.00,1050.00
10458,28067.00,92.10,4.30,95.70,3.11,2.81,9.10,41.00,70.80,1.10,2.30,5.10,7.00,7.60,10.50,62.10,84.50,9.70,5.80,341900.00,1101.00
10459,16769.00,92.00,8.70,91.30,3.39,3.05,3.40,37.50,56.70,9.90,7.90,6.90,5.70,8.20,6.20,36.60,87.00,9.10,3.80,358800.00,917.00
10460,20680.00,94.50,8.70,91.30,3.22,2.92,0.00,47.90,69.50,7.50,5.20,14.70,11.60,9.90,8.90,33.20,87.20,8.10,4.80,353900.00,960.00
10461,21170.00,92.10,31.50,68.50,2.97,2.46,2.60,22.90,30.90,2.30,1.30,8.00,16.00,18.20,11.50,37.00,93.60,4.10,2.30,444700.00,1233.00
10462,30944.00,93.50,21.90,78.10,2.99,2.52,1.70,16.90,65.30,1.90,1.50,3.90,11.50,14.00,20.70,41.80,89.80,6.40,3.80,246400.00,1190.00
10463,30125.00,92.00,30.70,69.30,2.33,2.54,12.30,27.00,84.20,1.60,2.10,9.60,16.20,25.90,8.30,32.70,92.70,5.00,2.40,280600.00,1177.00
10464,2306.00,92.80,56.70,43.30,2.64,1.42,0.00,6.70,13.00,1.20,9.40,4.80,13.30,4.20,10.60,51.10,100.00,0.00,0.00,478900.00,1338.00
10465,17300.00,92.20,53.90,46.10,3.03,2.53,15.00,10.30,12.80,4.10,3.80,9.20,16.50,26.50,8.80,23.90,97.40,2.00,0.50,428900.00,1237.00
10466,24530.00,92.20,37.70,62.30,3.53,2.75,9.10,47.40,27.20,3.90,3.20,5.80,11.50,20.30,9.20,42.40,92.50,5.00,2.50,388600.00,1102.00
10467,37528.00,92.90,11.50,88.50,3.17,2.75,5.00,45.00,65.90,2.60,3.30,7.70,12.70,17.20,13.80,36.30,86.40,8.40,5.20,353700.00,1127.00
10468,26089.00,92.70,8.40,91.60,2.57,2.98,6.20,27.70,82.80,0.60,2.20,6.50,7.20,8.40,14.30,57.80,82.80,10.90,6.20,168100.00,1129.00
10469,23526.00,92.80,49.10,50.90,3.47,2.91,7.90,29.80,13.20,3.40,3.00,5.70,14.60,24.30,17.90,25.20,92.80,5.50,1.70,422300.00,1267.00
10470,6550.00,88.70,37.10,62.90,3.06,2.24,2.80,40.00,33.30,1.00,5.70,3.40,12.20,16.40,13.70,44.20,94.70,2.90,2.40,405700.00,1253.00
10471,10090.00,87.70,49.20,50.80,2.35,1.96,12.50,11.60,68.20,1.90,4.00,6.10,30.00,22.40,11.50,22.80,97.30,1.10,1.60,344300.00,1401.00
10472,23355.00,90.80,14.40,85.60,3.58,3.20,4.90,20.50,45.20,2.10,1.90,5.00,14.60,18.80,8.60,45.90,84.40,9.90,5.70,428200.00,1058.00
10473,21725.00,94.00,28.40,71.60,3.29,2.77,7.20,17.80,51.80,4.40,3.90,15.80,28.30,19.30,5.90,14.60,93.10,4.30,2.60,375400.00,860.00
10474,4129.00,86.90,6.30,93.70,3.33,3.06,19.40,15.50,60.30,7.20,7.20,7.90,8.90,10.60,9.10,43.80,85.10,9.60,5.40,368000.00,985.00
10475,18961.00,96.30,39.20,60.80,2.51,2.27,0.00,11.00,87.50,6.00,1.20,29.00,50.00,6.70,2.70,3.50,95.70,3.20,1.10,48100.00,939.00
11004,5157.00,98.20,75.70,24.30,2.88,1.83,0.00,0.00,3.90,1.20,1.60,4.90,7.10,49.10,29.80,4.30,98.20,1.70,0.20,422500.00,1171.00
11005,1813.00,89.30,90.80,9.20,1.32,1.26,16.50,0.00,98.20,0.00,10.70,75.30,6.90,4.20,1.80,0.90,98.30,0.00,1.70,378500.00,2001.00
11101,12364.00,93.00,17.10,82.90,2.10,2.15,4.80,17.00,58.30,1.40,1.90,2.20,4.60,8.00,20.70,39.60,92.90,3.80,3.20,712100.00,1215.00
11102,15210.00,91.00,13.80,86.20,2.70,2.48,2.10,34.70,41.40,4.70,2.90,7.70,11.30,13.10,10.20,35.00,91.30,5.90,2.80,602900.00,1464.00
11103,17929.00,91.20,15.40,84.60,2.89,2.23,1.90,42.00,22.40,1.70,2.40,4.60,8.30,12.60,19.00,46.40,93.70,4.30,2.00,652300.00,1452.00
11104,12422.00,92.70,15.20,84.80,2.45,2.28,1.10,33.10,60.50,0.60,1.90,2.90,3.60,12.60,22.70,54.10,87.50,9.10,3.50,419400.00,1386.00
11105,16972.00,91.70,26.10,73.90,2.82,2.20,0.00,29.20,14.60,2.50,2.40,3.40,11.00,16.70,19.70,41.30,94.30,3.10,2.60,657800.00,1487.00
11106,18362.00,92.60,16.70,83.30,2.48,2.21,3.60,20.90,46.50,3.50,2.10,6.20,11.40,20.60,18.30,32.30,92.60,4.30,3.10,411200.00,1347.00
11109,2714.00,89.10,17.50,82.50,1.65,1.82,0.00,41.20,98.00,16.40,0.50,0.00,0.00,0.00,0.00,0.40,98.70,0.00,1.30,442300.00,2001.00
11201,28401.00,87.60,36.80,63.20,2.20,1.93,10.80,6.70,61.70,1.40,1.60,3.30,6.30,13.70,6.00,49.20,94.90,2.50,2.70,714700.00,1902.00
11203,29705.00,91.40,40.10,59.90,3.17,2.50,3.20,9.20,22.70,2.30,1.60,2.80,6.60,12.00,16.60,54.90,91.90,5.50,2.60,420600.00,1158.00
11204,26658.00,93.30,38.20,61.80,3.52,3.04,10.10,30.20,17.80,2.10,1.90,4.70,7.40,7.10,11.20,62.30,86.40,10.40,3.20,660800.00,1205.00
11205,16925.00,89.20,22.20,77.80,2.85,2.64,1.20,12.40,44.70,2.10,1.50,3.50,7.90,9.40,12.90,49.50,90.60,6.80,2.50,621400.00,1182.00
11206,31582.00,91.80,11.40,88.60,3.53,2.77,1.80,29.20,44.40,6.20,3.20,6.60,15.70,13.00,6.80,31.50,86.90,8.50,4.50,527800.00,893.00
11207,34841.00,90.80,23.10,76.90,3.17,2.81,6.40,46.40,23.40,6.70,5.00,6.00,14.80,13.00,6.90,37.20,90.60,6.90,2.40,400600.00,1054.00
11208,34968.00,83.00,24.60,75.40,3.46,3.05,6.00,40.80,18.80,5.90,4.60,7.60,10.50,12.50,7.90,39.50,79.40,14.80,5.80,423100.00,1137.00
11209,33408.00,92.50,34.60,65.40,2.59,2.21,7.60,25.00,45.20,1.20,3.10,4.00,6.50,12.30,11.90,58.10,91.20,4.80,4.00,629200.00,1330.00
11210,23509.00,93.20,45.70,54.30,3.51,2.67,13.70,34.20,41.50,0.80,0.70,2.10,11.30,17.70,13.90,51.20,90.50,5.80,3.70,480500.00,1130.00
11211,39015.00,93.40,15.80,84.20,2.68,2.56,9.50,18.60,40.90,4.20,2.90,6.20,7.30,6.00,4.20,51.10,89.20,7.20,3.60,674900.00,1337.00
