esriid,FamsWithKids,pctFamsWithKids,pctSingleFathers,pctSingleMothers,HHsWithKids,pctHHsWithKids,AvgFamSize,pctLessThan9th,pctSomeHighSchool,pctHighSchool,pctSomeCollege,pctAssociates,pctBachelors,pctGradProf,pctHighSchoolOrMore,pctBachelorsormore,pctVeteran,pctUSNative,pctBornInUS,pctOthLangEnglishLTD,pctSpanishEnglishLTD
  ,With own children under 18 years,pctFamsWithKids ,pctSingleFathers ,pctSingleMothers ,Households with one or more people under 18 years,pctHHsWithKids ,Average family size ,pctLessThan9th,pctSomeHighSchool ,pctHighSchool ,pctSomeCollege ,pctAssociates ,pctBachelors ,pctGradProf ,pctHighSchoolOrMore ,pctBachelorsormore ,pctVeteran ,pctUSNative ,pctBornInUS ,pctOthLangEnglishLTD ,pctSpanishEnglishLTD
11234,10368.00,32.10,1.50,9.30,11970.00,37.00,3.49,4.90,6.70,30.00,17.70,9.10,19.50,12.10,88.40,31.50,3.50,63.20,97.70,45.80,41.20
11235,7390.00,23.00,1.10,3.20,8000.00,24.90,3.11,5.70,4.60,24.90,11.40,9.80,29.20,14.40,89.70,43.60,2.50,38.30,96.60,64.40,64.10
11236,10559.00,33.10,2.70,14.20,12580.00,39.40,3.49,7.40,8.60,29.20,19.40,9.90,16.80,8.70,84.00,25.50,2.40,52.70,96.30,46.70,38.50
11237,6026.00,36.10,7.50,13.40,6991.00,41.90,3.62,29.00,18.10,19.20,10.70,3.30,13.60,6.00,52.80,19.60,1.20,56.50,87.90,62.80,64.60
11238,4190.00,18.30,1.10,6.30,5056.00,22.00,3.04,3.80,5.50,15.30,14.00,4.80,30.80,25.80,90.70,56.60,2.10,77.40,96.20,29.10,21.50
11239,1327.00,20.90,1.30,15.80,1738.00,27.30,2.84,8.90,11.50,29.40,17.70,9.70,10.60,12.10,79.60,22.80,5.50,68.90,95.20,52.00,27.90
11351,0.00,,,,0.00,,,,,,,,,,,,,,,,
11354,4452.00,22.60,1.00,5.10,4977.00,25.30,3.22,11.80,10.70,29.80,13.00,9.30,17.60,7.70,77.50,25.30,2.40,38.30,94.80,69.90,51.10
11355,7424.00,26.70,1.10,4.00,8636.00,31.00,3.47,15.80,12.20,28.30,9.30,9.70,16.10,8.60,72.00,24.70,1.20,27.10,95.40,72.70,60.10
11356,2778.00,36.80,1.60,8.20,3129.00,41.50,3.70,10.20,10.00,34.30,16.10,6.70,16.10,6.70,79.80,22.70,3.20,53.30,96.20,55.30,52.90
11357,3901.00,25.80,2.00,2.50,4127.00,27.30,3.25,7.50,7.00,28.10,15.50,7.20,21.70,13.10,85.60,34.80,5.20,68.10,98.20,46.10,31.40
11358,3566.00,27.10,0.70,4.00,3902.00,29.70,3.35,8.90,6.30,25.10,15.50,7.80,22.80,13.60,84.90,36.40,3.80,51.70,97.60,54.00,43.20
11359,0.00,,,,0.00,,,,,,,,,,,,,,,,
11360,1772.00,20.70,1.10,2.30,1884.00,22.00,3.03,3.40,3.20,21.30,14.50,6.80,27.30,23.60,93.40,50.90,6.10,66.70,98.80,44.70,30.40
11361,3075.00,28.80,1.50,4.30,3311.00,31.00,3.38,7.30,4.00,23.30,16.40,7.40,26.00,15.50,88.70,41.60,3.30,58.40,98.20,49.30,34.80
11362,1665.00,23.90,0.70,1.30,1896.00,27.20,3.19,5.60,4.60,18.20,16.50,5.70,28.80,20.60,89.80,49.40,4.80,59.10,96.20,53.30,44.40
11363,845.00,32.60,0.30,1.70,895.00,34.60,3.55,5.10,1.70,17.80,15.40,8.90,30.60,20.60,93.20,51.20,5.00,65.30,98.40,50.40,54.10
